Index,English,Arabic
2920,microarray datum,بيانات المصفوفة الدقيقة
2921,mini-batch,الدفعة المصغرة
2922,mini-batch size,حجم الدفعة المصغرة
2923,mini-batch training,التدريب بالدفعات المصغرة
2924,minima,النقاط الدنيا
2925,minimax,مينيماكس
2926,minimax game,لعبة المينماكس
2927,minimax optimization problem,مشكلة تحسين مينيماكس
2928,minimax problem,مشكلة مينيماكس
2929,minimization problem,مشكلة التقليل
2930,minimizer,المُقلِّل
2931,minimum baye risk decoding,فك التشفير بخطر بايز الأدنى
2932,minimum cut,القطع الأدنى
2933,minimum description length,الحد الأدنى لطول الوصف
2934,minimum support,الحد الأدنى من الدعم
2935,mirror descent,الانحدار المرآتي
2936,misclassification error,خطأ التصنيف الخاطئ
2937,misclassification loss,خسارة سوء التصنيف
2938,misinformation detection,كشف المعلومات المضللة
2939,mixed integer programming,البرمجة الصحيحة المختلطة
2940,mixed precision,الدقة المختلطة
2941,mixed precision training,التدريب بالدقة المختلطة
2942,mixed strategy,استراتيجية مختلطة
2943,mixed-integer program,برنامج مختلط الأعداد الصحيحة
2944,mixing matrix,مصفوفة خلط
2945,mixing time,زمن الخلط
2946,mixing weight,أوزان المزج
2947,mixture component,مكون الخليط
2948,mixture distribution,توزيع الخليط
2949,mixture model,نموذج الخليط
2950,mixture of Gaussians,مزيج من التوزيعات الغاوسية
2951,mixture weight,وزن المزيج
2952,mocap,التقاط الحركة
2953,modality,نمط
2954,mode,نمط
2955,mode collapse,انهيار النمط
2956,model M,النموذج M
2957,model accuracy,دقة النموذج
2958,model architecture,بنية النموذج
2959,model averaging,متوسط النماذج
2960,model bias,انحياز النموذج
2961,model capacity,سعة النموذج
2962,model card,بطاقة النموذج
2963,model checking,التحقق من النموذج
2964,model class,فئة النموذج
2965,model comparison,مقارنة النموذج
2966,model complexity,تعقيد النموذج
2967,model compression,ضغط النموذج
2968,model convergence,تقارب النموذج
2969,model development,تطوير النموذج
2970,model distillation,تقطير النموذج
2971,model distribution,توزيع النموذج
2972,model estimation,تقدير النموذج
2973,model evaluation,تقييم النموذج
2974,model family,عائلة النماذج
2975,model fine-tuning,الضبط الدقيق للنموذج
2976,model generalization,تعميم النموذج
2977,model hyperparameter,المعلمات الفائقة للنموذج
2978,model inference,استدلال النموذج
2979,model initialization,تهيئة النموذج
2980,model interpretability,قابلية تفسير النموذج
2981,model interpretation,تفسير النموذج
2982,model layer,طبقة النموذج
2983,model output,مخرجات النموذج
2984,model parallelism,توازي النماذج
2985,model parameter,معلمة النموذج
2986,model performance,أداء النموذج
2987,model precision,دقة النموذج
2988,model prediction,تنبؤ النموذج
2989,model predictive control,التحكم التنبؤي بالنموذج
2990,model representation,تمثيل النموذج
2991,model robustness,متانة النموذج
2992,model score,درجة النموذج
2993,model selection,اختيار النموذج
2994,model size,حجم النموذج
2995,model specification,مواصفة النموذج
2996,model structure,هيكل النموذج
2997,model training,تدريب النموذج
2998,model update,تحديث النموذج
2999,model variant,نوع النموذج
3000,model weight,وزن النموذج
3001,model's parameter,معلمات النموذج
3002,model-based approach,نهج قائم على النموذج
3003,model-based reinforcement learning,التعلم المعزز القائم على النموذج
3004,model-free approach,نهج خالٍ من النموذج
3005,modular,قابل للتجزئة
3006,modular architecture,العمارة المعيارية
3007,module,وحدة
3008,moment matching,مطابقة العزوم
3009,momentum,الزخم
3010,momentum coefficient,معامل الزخم
3011,momentum encoder,مشفّر الزخم
3012,momentum term,مصطلح الزخم
3013,monocular,أحادي العين
3014,monocular reconstruction,إعادة بناء أحادية العين
3015,monolingual baseline,خط الأساس الأحادي اللغة
3016,monolingual corpora,مجموعات بيانات أحادية اللغة
3017,monolingual corpus,مجموعة نصوص أحادية اللغة
3018,monolingual dataset,مجموعة بيانات أحادية اللغة
3019,monolingual datum,بيانات أحادية اللغة
3020,monolingual embedding,تضمين أحادي اللغة
3021,monolingual model,نموذج أحادي اللغة
3022,monolingual training,التدريب أحادي اللغة
3023,monotone,رتيب
3024,monotonic,أحادي الرتابة
3025,morphological analysis,التحليل الصرفي
3026,morphological analyzer,المحلل الصرفي
3027,morphological feature,السمة الصرفية
3028,morphological information,المعلومات المورفولوجية
3029,morphological operation,العملية المورفولوجية
3030,morphological segmentation,التجزئة الصرفية
3031,motion analysis,تحليل الحركة
3032,motion estimation,تقدير الحركة
3033,motion matrix,مصفوفة الحركة
3034,motion planning,تخطيط الحركة
3035,motion segmentation,تجزئة الحركة
3036,moving average,المتوسط المتحرك
3037,multi-agent,متعدد الوكلاء
3038,multi-agent interaction,تفاعل متعدد الوكلاء
3039,multi-agent learning,التعلم متعدد الوكلاء
3040,multi-agent reinforcement learning,التعلم المعزز متعدد الوكلاء
3041,multi-agent system,نظام متعدد الوكلاء
3042,multi-armed bandit,قطاع الطرق متعدد الأسلحة
3043,multi-armed bandit problem,مشكلة قطاع الطرق متعدد الأسلحة
3044,multi-class,متعدد الفئات
3045,multi-class classification,تصنيف متعدد الفئات
3046,multi-class logistic regression,الانحدار اللوجستي متعدد الفئات
3047,multi-class problem,مشكلة متعددة الفئات
3048,multi-classification,تصنيف متعدد الفئات
3049,multi-document summarization,تلخيص متعدد الوثائق
3050,multi-domain,متعدد المجال
3051,multi-head,متعدد الرؤوس
3052,multi-head attention,الانتباه متعدد الرؤوس
3053,multi-head attention layer,طبقة الانتباه متعدد الرؤوس
3054,multi-head self-attention,انتباه ذاتي متعدد الرؤوس
3055,multi-head self-attention mechanism,آلية الانتباه الذاتي متعددة الرؤوس
3056,multi-head self-attention module,وحدة الانتباه الذاتي متعددة الرؤوس
3057,multi-headed self-attention,الانتباه الذاتي متعدد الرؤوس
3058,multi-label,متعدد التسميات
3059,multi-label classification,التصنيف متعدد التسميات
3060,multi-label classification loss,خسارة التصنيف متعدد التسميات
3061,multi-label classifier,المصنف متعدد التسميات
3062,multi-label datum,مسند متعدد التسمية
3063,multi-label learning,التعلم متعدد العلامات
3064,multi-label text classification,تصنيف النصوص متعدد التسميات
3065,multi-layer neural network,شبكة عصبية متعددة الطبقات
3066,multi-layer perceptron,المدرك متعدد الطبقات
3067,multi-modal,متعدد الوسائط
3068,multi-modal input,مدخلات متعددة الوسائط
3069,multi-modal learning,التعلم متعدد الأنماط
3070,multi-modal model,نموذج متعدد الوسائط
3071,multi-object detection,كشف الأجسام المتعددة
3072,multi-objective optimization,تحسين متعدد الأهداف
3073,multi-scale,متعدد المقاييس
