,English,French
4312,multi-label text classification,classification de texte multi-étiquettes
4313,multi-layer neural network,réseau de neurones multicouches
4314,multi-layer perceptron,perceptron multicouche
4315,multi-modal,multi-modal
4316,multi-modal input,entrée multi-modale
4317,multi-modal learning,apprentissage multi-modal
4318,multi-modal model,modèle multi-modal
4319,multi-object detection,détection multi-objets
4320,multi-objective optimization,optimisation multi-objectifs
4321,multi-output classification,classification multisorties
4322,multi-phase sampling,échantillonnage à plusieurs phases
4323,multi-scale,multi-échelle
4324,multi-scale architecture,architecture multi-échelle
4325,multi-scale training,entraînement multi-échelle
4326,multi-swarm optimization,optimisation multiessaim
4327,multi-task,multi-tâche
4328,multi-task fine-tuning,ajustement fin multi-tâches
4330,multi-task model,modèle multi-tâches
4331,multi-task regression,régression multi-tâches
4332,multi-task setting,cadre multi-tâches
4333,multi-view,multi-vue
4334,multi-view datum,donnée multi-vue
4335,multi-view geometry,géométrie multi-vue
4336,multi-view learning,apprentissage multi-vue
4337,multi-view stereo,stéréo multi-vue
4338,multi-view system,système multi-vue
4339,multiclass classifier,classificateur multiclasses
4340,multiclass hinge loss,perte de hinge multiclasse
4341,multiclass model,modèle multiclasses
4342,multiclass object detection,détection d'objets multiclasses
4343,multicollinearity,multicolinéarité
4344,multidimensional database,base de données multidimensionnelle
4346,multilayer perceptron,perceptron multicouche
4347,multilingual,multilingue
4348,multilingual embedding,embeddings multilingues
4349,multilingual language model,modèle de langue multilingue
4350,multilingual model,modèle multilingue
4351,multilingual representation,représentation multilingue
4352,multilingual training,entraînement multilingue
4353,multilinguality,multilinguisme
4354,multimodal large language model,grand modèle de langue multimodal
4355,multimodal machine learning,apprentissage automatique multimodal
4356,multimodal model,modèle multimodal
4357,multimodal task,tâche multimodale
4358,multinomial classification,classification multinomiale
4359,multinomial distribution,distribution multinomiale
4360,multinomial logistic regression,régression logistique multinomiale
4361,multinomial model,modèle multinomial
4362,multinomial naïve Bayes classification,classification naïve bayésienne multinomiale
4363,multinomial probit model,modèle multinomial probit
4364,multiphase sampling,échantillonnage multiple
4365,multiple inheritance,héritage multiple
4366,multiple kernel learning,apprentissage à noyaux multiples
4367,multiple linear regression,régression linéaire multiple
4368,multiplicative process,processus multiplicatif
4369,multiplicative weight update method,méthode des poids multiplicatifs
4370,multiscale modeling,modélisation multiscalaire
4371,multiscale vision transformers,réseau autoattentif visuel multiéchelle
4372,multiset,multiset
4373,multistep quantization,quantification multiétages
4374,multitask,multi-tâches
4375,multitask training,entraînement multitâche
4376,multivariate,multivarié
4377,multivariate Gaussian,gaussienne multivariée
4378,multivariate Gaussian distribution,distribution gaussienne multivariée
4379,multivariate adaptive regression splines,régression multivariée par spline adaptative
4380,multivariate negative binomial distribution,distribution binomiale négative multidimensionnelle
4381,multivariate negative hypergeometric distribution,distribution hypergéométrique négative multidimensionnelle
4382,multivariate normal,normale multivariée
4383,multivariate normal distribution,distribution normale multivariée
4384,multivariate time series,séries temporelles multivariées
4385,music recognition,identification musicale
4386,music search engine,moteur de recherche musicale
4387,mutability,mutabilité
4388,mutex,mutex
4389,mutexe,mutex
4390,mutual entropy,entropie mutuelle
680,mutual information,Information Mutuelle
4391,n-best list,liste des n-meilleurs
683,n-gram,N-gramme
4392,n-gram feature,caractéristique n-gram
4393,n-gram language model,modèle de langue en n-grammes
4394,n-gram model,modèle n-gram
4395,n-step returns,retours n-étapes
691,naive Bayes,Naive Bayes
4396,naive Bayes classifier,classification naïve bayésienne
4397,naive Bayes model,modèle de Bayes naïf
4398,naive semantics,sémantique naïve
4399,name binding,liaison de nom
4400,named,nommé
4401,named entity,entité nommée
692,named entity recognition,Reconnaissance d'entités nommées
4402,named entity recognizer,reconnaisseur d'entités nommées
4403,named graph,graphe nommé
4404,named-entity recognition,extraction d’entité
4405,namely,à savoir
4406,natural,naturel
4407,natural image statistic,statistique d'image naturelle
4408,natural language,langage naturel
695,natural language generation,génération de langage naturel
4409,natural language processing,traitement automatique de la langue naturelle
4410,natural language query,requête en langage naturel
4412,natural logic,logique naturelle
4413,natural logic inference,inférence en logique naturelle
4414,natural parameter,paramètre naturel
4415,natural-language programming,programmation en langue naturelle
4416,navigation mesh,mesh de navigation
4417,near-optimality,quasi-optimalité
699,nearest neighbor,Plus Proche Voisin
4418,nearest neighbor classifier,classificateur des plus proches voisins
4419,nearest neighbor search,recherche des plus proches voisins
4420,nearest-neighbor algorithm,algorithme des plus proches voisins
4421,negation,négation
4422,negation as failure,négation par l'échec
4423,negative class,classe négative
4424,negative log-likelihood,log-vraisemblance négatif
4425,negative pair,paire négative
4426,negative sample,échantillon négatif
4427,negative transfer,transfert négatif
4428,neighborhood function,fonction de voisinage
4429,neighborhood system,système de voisinage
4430,net,réseau
4431,network,réseau
4432,network architecture,architecture du réseau
4433,network feature,caractéristique du réseau
4434,network motif,motif d'un réseau
4435,network parameter,paramètre du réseau
4436,network structure,structure du réseau
4437,network topology,topologie du réseau
4438,network weight,poids du réseau
4439,neural,neuronal
4440,neural Turing machine,machine de Turing neuronale
4441,neural activity,activité neuronale
4442,neural approach,approche neuronale
4443,neural architecture,architecture neuronale
4444,neural architecture search,recherche d'architecture neuronale
4445,neural embedding,représentation neuronale
4446,neural gas,gaz neuronal
4447,neural generation model,modèle de génération neuronale
4448,neural implicit representation,représentation implicite neuronale
4449,neural language model,modèle de langue neuronal
4450,neural machine translation,traduction automatique neuronale
4451,neural machinery,machinerie neuronale
4452,neural mapping,cartographie neuronale
4453,neural method,méthode neuronale
4454,neural model,modèle neuronal
4455,neural module,module neuronal
4456,neural net,réseau neuronal
4457,neural network,réseau connexionniste
4458,neural network architecture,architecture de réseau de neurones
4459,neural network classifier,classificateur de réseau de neurones
4460,neural network language model,modèle de langage de réseau de neurones
4461,neural network layer,couche de réseau de neurones
4462,neural network model,modèle de réseau de neurones
4463,neural operator,opérateur neuronal
4464,neural parser,analyseur neuronal
4465,neural processing unit,processeur neuronal
4467,neural renderer,moteur de rendu neuronal
4468,neural rendering,rendu neuronal
4469,neural representation,représentation neuronale
4470,neural retrieval,récupération neuronale
4471,neural scaling law,loi d'échelle neuronale
4472,neural scene representation,représentation de scène neuronale
4473,neural sequence model,modèle de séquence neuronale
4474,neural text generation,génération de texte neuronale
4475,neural volumetric representation,représentation volumétrique neuronale
4476,neural word embedding,embeddings de mots neuronaux
4477,neuro-fuzzy,neuro-flou
4478,neuro-symbolic system,système neuro-symbolique
4479,neurocybernetics,neurocybernetique
4480,neuromodulator,neuromodulateur
4481,neuromorphic,neuromorphe
4482,neuromorphic chip,puce neuromorphique
4483,neuromorphic computing,calcul neuromorphique
4484,neuron,neurone
4485,neuron layer,couche de neurones
4486,neurosymbolic AI,IA neuro-symbolique
4487,neurotransistor,neurotransistor
4488,news,nouvelles
4489,newswire,fil d'actualité
4490,next sentence prediction,prédiction de la prochaine phrase
4491,next token prediction,prédiction du prochain token
4492,nmod,nmod
4493,no free lunch theorem,théorème du « No Free Lunch »
4494,no-regret algorithm,algorithme sans regret
4495,no-regret dynamic,dynamique sans regret
4496,no-regret learning algorithm,algorithme d'apprentissage sans regret
